id,job_statement,type,confidence_score,confidence_tier,obvious,implicit,emotional,adversarial,participant_evidence
JOB-001,"When I submit a health insurance claim, I want to track its status in real time, so I can stop wondering whether it was received and when I will be reimbursed.",Functional,19,High,5,5,5,4,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10"
JOB-002,"When my medication is changed, I want to understand why it was changed and whether it is safe, so I can take my medicine with confidence instead of worry.",Emotional,18,High,5,4,5,4,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10"
JOB-003,"When I see a problem with my claim or medication in the portal, I want to take action directly (dispute, appeal, ask a question), so I do not have to leave the portal and start a separate phone process.",Functional,17,High,5,4,4,4,"P01, P03, P04, P05, P07, P08, P09, P10"
JOB-004,"When I need to manage health administration for multiple people (children, elderly parent), I want a single dashboard with profile switching, so I can handle everything in one session without logging in and out.",Functional,15,High,4,4,4,3,"P01, P03, P07"
JOB-005,"When I use a digital health portal, I want the language to be plain and jargon-free, so I can understand what is happening without needing someone to translate for me.",Social,16,High,4,4,4,4,"P02, P03, P05, P06, P07, P09"
JOB-006,"When something changes in my health insurance (medication, coverage, claim status), I want to be notified proactively on my phone, so the information comes to me instead of me having to go looking for it.",Functional,14,High,4,4,3,3,"P01, P03, P05, P07, P09"
JOB-007,"When I feel overwhelmed by health administration, I want to feel that I am a competent person who can handle my own affairs, so I can maintain my sense of independence and self-worth.",Social,11,Medium,1,3,5,2,"P02, P03, P06, P09"
JOB-008,"When my sensitive health information (mental health, stigmatized conditions) is in a digital system, I want granular control over what is visible and to whom, so I can protect my privacy without losing access to the service.",Emotional,10,Medium,2,2,3,3,"P06, P08"
JOB-009,"When I am managing health administration for someone with dementia, I want to receive notifications and make changes on their behalf through formal authorization, so I can keep them safe without the system requiring their direct participation.",Functional,8,Medium,2,3,2,1,"P01, P07"
JOB-010,"When I have a chronic condition and use the portal frequently, I want the system to recognize my usage pattern and prioritize my needs, so I feel acknowledged as someone who depends on the system more than the average user.",Emotional,7,Medium,2,2,2,1,"P01, P04, P10"
JOB-011,"When I am new to managing my own health administration (recently widowed, recently retired), I want a safe practice environment where I can explore without consequences, so I can build confidence before using the real system.",Emotional,5,Low,1,1,2,1,"P02, P06"
JOB-012,"When I choose a care provider, I want to understand the ranking criteria and filter by my specific condition, so I can make an informed choice rather than picking a name from an opaque list.",Functional,5,Low,2,1,1,1,"P03, P07, P09"
JOB-013,"When the referral letter process involves me as an intermediary, I want the system to handle it automatically between my GP and VGZ, so I am not a bottleneck in a process that should be fully digital.",Functional,4,Low,2,1,0,1,"P01, P05, P07"
JOB-014,"When I use a health portal, I want to see an audit log of who has accessed my data, so I can verify that my information is being handled appropriately.",Functional,3,Low,1,0,1,1,"P08"
