id,type,statement,category,confidence_score,confidence_tier,severity_or_level,touchpoint,participant_evidence
PAIN-001,Pain,"Medication is changed without adequate explanation, leaving patients confused, anxious, and unable to distinguish between a safe brand switch and a medically significant change.",Emotional,19,High,High,Pharmacy pickup / medication change notification,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10"
PAIN-002,Pain,"Claim status is opaque -- after submission, there is no visibility into progress, leading to unnecessary phone calls, anxiety, and wasted time.",Functional,18,High,High,Post-submission waiting period,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10"
PAIN-003,Pain,"The portal shows information but provides no way to act on it -- no dispute, no appeal, no messaging -- leaving users feeling powerless.",Functional,17,High,High,Portal concept -- all features,"P01, P03, P04, P05, P07, P08, P09, P10"
PAIN-004,Pain,"The portal uses insurance jargon (preferentiebeleid, therapeutisch equivalent) that excludes participants who are not digitally or medically literate.",Social,15,High,High,Medication management -- change explanation,"P02, P03, P05, P06, P07, P09, P10"
PAIN-005,Pain,"DigiD login is a barrier for digitally less confident users, creating frustration, blocked access, and dependence on family members.",Functional,12,High,High,Portal access -- authentication,"P02, P06, P07, P09"
PAIN-006,Pain,"There is no way to manage multiple family members' health administration in one view -- switching between accounts requires separate DigiD logins.",Functional,10,Medium,Medium,Portal structure -- account management,"P03, P07"
PAIN-007,Pain,"Participants with sensitive health conditions (mental health) fear that centralized portal data increases exposure risk through data breaches, unauthorized access, or social stigma.",Emotional,9,Medium,Medium,Portal concept -- trust and privacy,"P06, P08"
PAIN-008,Pain,"The care provider finder is confusing -- search results have unclear ranking criteria, unattributed star ratings, and no filtering by condition or patient needs.",Functional,8,Medium,Medium,Care provider finder feature,"P01, P03, P06, P09, P10"
PAIN-009,Pain,"Participants have no real-time visibility into their deductible (eigen risico) -- they cannot predict out-of-pocket costs during the year.",Functional,7,Medium,Medium,Portal concept -- missing feature,"P01, P04, P06, P09, P10"
PAIN-010,Pain,"The referral letter process still requires patient intermediation -- uploading a photo of a paper letter is an improvement over faxing but remains a workaround for a broken system-to-system integration.",Functional,5,Low,Low,Referral letter upload feature,"P01, P05, P07"
PAIN-011,Pain,"Fear of making irreversible mistakes in digital systems prevents digitally less confident users from even trying the portal.",Emotional,4,Low,Medium,First interaction with portal,"P02, P06"
GAIN-001,Gain,"Real-time claim status tracking eliminates the need to call, wait, and ask -- providing instant answers and reducing mental burden.",Functional,18,High,Expected,Claims status timeline feature,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10"
GAIN-002,Gain,"A single centralized overview of all health administration (claims, medication, referrals) replaces fragmented systems, paper files, and manual tracking.",Functional,15,High,Desired,Portal dashboard,"P01, P03, P04, P07, P09, P10"
GAIN-003,Gain,"Feeling capable of managing one's own health affairs independently -- restored sense of competence and autonomy.",Social,13,High,Desired,Overall portal experience,"P02, P03, P06, P09, P10"
GAIN-004,Gain,"Proactive notifications replace the need to manually check, reducing cognitive load and preventing surprises.",Functional,12,High,Expected,Notification system (proposed),"P01, P03, P05, P07, P09, P10"
GAIN-005,Gain,"A human-assisted digital experience -- combining portal information with a phone agent who can co-browse the same screen -- gives digitally less confident users the best of both worlds.",Emotional,9,Medium,Desired,Phone support integration (proposed),"P01, P02, P06"
GAIN-006,Gain,"Time savings from reduced phone calls and manual administration -- quantified by participants at 1-3 hours per month.",Functional,8,Medium,Expected,Overall portal experience,"P01, P04, P07, P10"
GAIN-007,Gain,"The portal signals that VGZ is a modern, digitally capable organization -- building brand confidence even among users who rarely interact with the insurer.",Social,4,Low,Unexpected,Overall portal experience,"P05"
